creation_date,listing_active_count,num_favorers,currency_code,sale_message,sales_count,review_count,shop_location,country
19-Nov,1,2,AUD,False,2,0,"Townsville, Australia",Australia
19-Nov,0,0,AUD,False,0,0,"Brisbane, Australia",Australia
19-Nov,1,0,GBP,False,0,0,"Daventry, United Kingdom",United Kingdom
19-Nov,16,4,USD,False,4,0,"Santa Barbara, California",United States
19-Nov,4,2,USD,False,0,0,"Spring, Texas",United States
19-Nov,1,0,GBP,False,0,0,"Street, United Kingdom",United Kingdom
19-Nov,10,1,USD,False,0,0,"New Delhi, India",India
19-Dec,1,0,USD,False,0,0,"Prescott Valley, Arizona",United States
19-Nov,2,0,USD,False,0,0,"Delray Beach, Florida",United States
19-Nov,3,2,USD,False,3,0,"Honolulu, Hawaii",United States
19-Nov,1,1,USD,False,0,0,"California, United States",United States
19-Dec,2,0,USD,False,0,0,"Newport News, Virginia",United States
19-Nov,6,3,USD,False,2,0,"Baltimore, Maryland",United States
19-Nov,13,2,USD,False,0,0,"Portland, Oregon",United States
19-Nov,10,2,USD,False,0,0,"Bridgewater, New Jersey",United States
19-Nov,7,9,USD,False,5,1,"California, United States",United States
19-Nov,6,2,USD,False,0,0,"Eugene, Oregon",United States
19-Nov,27,2,USD,False,0,0,"Minneapolis, Minnesota",United States
19-Nov,5,5,USD,False,9,0,"Columbus, Ohio",United States
19-Nov,10,3,USD,False,0,0,"Macomb, Illinois",United States
19-Nov,20,4,EUR,False,6,0,"Hannover, Germany",Germany
19-Nov,1,0,USD,False,0,0,"Babylon, New York",United States
19-Nov,5,5,USD,False,0,0,"Austin, Texas",United States
19-Nov,2,0,GBP,False,0,0,"Wales, United Kingdom",United Kingdom
19-Nov,16,1,USD,False,0,0,"Macungie, Pennsylvania",United States
19-Nov,3,18,USD,False,0,0,"Atlanta, Georgia",United States
19-Dec,1,0,USD,False,0,0,"Busan, South Korea",South Korea
19-Nov,8,1,USD,False,0,0,"Austin, Texas",United States
19-Nov,9,1,GBP,False,0,0,"Worthing, United Kingdom",United Kingdom
19-Nov,0,0,USD,False,0,0,"Covington, Tennessee",United States
19-Dec,1,0,USD,False,0,0,"Los Angeles, California",United States
19-Nov,2,0,USD,False,0,0,"Monticello, Arkansas",United States
19-Nov,0,1,USD,False,0,0,"St Louis, Missouri",United States
19-Nov,4,1,USD,False,0,0,"Miami, Florida",United States
19-Nov,27,1,AUD,False,3,0,"Mackay, Australia",Australia
19-Nov,14,2,CAD,False,0,0,"Sooke, Canada",Canada
19-Dec,1,0,EUR,False,0,0,"Bastia, France",France
19-Nov,2,0,USD,False,0,0,"Quechee, Vermont",United States
19-Nov,1,0,AUD,False,0,0,"Brisbane, Australia",Australia
19-Nov,1,0,USD,False,0,0,"Howell Township, New Jersey",United States
19-Nov,11,0,GBP,False,0,0,"Leeds, United Kingdom",United Kingdom
19-Nov,30,0,CAD,False,1,0,"Toronto, Canada",Canada
19-Nov,144,0,USD,False,10,0,"Columbus, Ohio",United States
19-Nov,1,0,USD,False,0,0,"New Jersey, United States",United States
19-Nov,43,0,USD,False,1,0,"Charlotte, North Carolina",United States
19-Nov,3,2,USD,False,0,0,"Austin, Texas",United States
19-Nov,4,1,USD,False,0,0,"Atlanta, Georgia",United States
19-Nov,1,0,USD,False,0,0,"Brookline, Missouri",United States
19-Nov,37,0,CAD,False,0,0,"Cochrane, Canada",Canada
19-Nov,3,0,USD,False,1,0,"Las Vegas, Nevada",United States
19-Nov,104,7,USD,False,59,3,"California, United States",United States
19-Nov,5,7,USD,False,2,0,"Minneapolis, Minnesota",United States
19-Nov,15,0,USD,False,0,0,"Malibu, California",United States
19-Nov,3,0,USD,False,0,0,"Providence, Rhode Island",United States
19-Nov,17,0,USD,False,1,0,"Gaithersburg, Maryland",United States
19-Nov,5,2,USD,False,0,0,"Spring, Texas",United States
19-Nov,0,0,USD,False,0,0,"Saint Cloud, Florida",United States
19-Nov,1,0,USD,True,1,0,"Michigan, United States",United States
19-Nov,7,1,CAD,False,3,0,"Montreal, Canada",Canada
19-Nov,1,0,USD,False,0,0,"Redmond, Washington",United States
19-Nov,21,4,USD,False,0,0,"Los Angeles, California",United States
19-Nov,4,0,USD,False,1,1,"Connecticut, United States",United States
19-Nov,3,1,USD,True,0,0,"Jersey City, New Jersey",United States
19-Nov,5,0,GBP,False,3,0,"Newcastle upon Tyne, United Kingdom",United Kingdom
19-Nov,1,0,USD,True,0,0,"Junction City, Kansas",United States
19-Nov,18,2,CAD,False,4,0,"Vancouver, Canada",Canada
19-Dec,5,0,EUR,False,0,0,"Amsterdam, The Netherlands",The Netherlands
19-Nov,7,2,USD,False,0,0,"Mason City, Iowa",United States
19-Dec,0,0,GBP,False,0,0,"Stoke-on-Trent, United Kingdom",United Kingdom
19-Nov,20,2,USD,False,0,0,"Denver, Colorado",United States
19-Nov,8,1,USD,False,1,0,"Richmond, Virginia",United States
19-Nov,4,0,AUD,True,0,0,"Adelaide, Australia",Australia
19-Nov,2,0,USD,True,0,0,"Eagleville, Pennsylvania",United States
19-Nov,3,0,GBP,False,1,0,"Nottingham, United Kingdom",United Kingdom
19-Nov,1,0,EUR,False,0,0,"Saltrio, Italy",Italy
19-Nov,10,0,EUR,False,0,0,"Munich, Germany",Germany
19-Nov,6,3,USD,False,1,0,"Sacramento, California",United States
19-Nov,2,0,USD,False,0,0,"Scottsdale, Arizona",United States
19-Dec,20,0,GBP,False,1,0,"Lincoln, United Kingdom",United Kingdom
19-Nov,5,1,USD,False,0,0,"Chicago, Illinois",United States
19-Nov,2,0,USD,False,0,0,"The Woodlands, Texas",United States
19-Nov,2,0,USD,False,0,0,"New York, United States",United States
19-Nov,2,1,USD,False,0,0,"Chatsworth, California",United States
19-Nov,4,0,USD,False,0,0,"Dillsburg, Pennsylvania",United States
19-Nov,6,4,USD,True,12,0,"Zephyrhills, Florida",United States
19-Nov,7,0,USD,False,0,0,"Columbia, South Carolina",United States
19-Nov,13,2,CAD,False,1,0,"Hamilton, Canada",Canada
19-Nov,1,0,USD,False,0,0,"Boston, Massachusetts",United States
19-Nov,1,0,USD,False,0,0,"West Jordan, Utah",United States
19-Nov,15,0,USD,True,0,0,"Athens, Illinois",United States
19-Dec,3,0,AUD,True,0,0,"Brisbane, Australia",Australia
19-Nov,8,0,USD,False,1,0,"Newberg, Oregon",United States
19-Nov,16,2,USD,False,4,1,"Austin, Texas",United States
19-Nov,13,0,USD,False,0,0,"Bend, Oregon",United States
19-Nov,5,1,USD,True,0,0,"Clarksville, Tennessee",United States
19-Nov,3,7,USD,False,2,0,"Nashville, Tennessee",United States
19-Nov,15,0,USD,False,1,0,"St Louis, Missouri",United States
19-Nov,1,0,USD,True,0,0,"Milton, Indiana",United States
19-Nov,9,1,GBP,False,3,0,"Huddersfield, United Kingdom",United Kingdom
19-Nov,3,0,GBP,False,1,0,"Liverpool, United Kingdom",United Kingdom
19-Nov,9,0,USD,False,0,0,"Kansas, United States",United States
19-Nov,5,0,USD,False,1,0,"Stevensville, Maryland",United States
19-Nov,6,0,USD,False,0,0,"Chesapeake, Virginia",United States
19-Dec,34,0,CAD,False,0,0,"Toronto, Canada",Canada
19-Nov,1,0,GBP,False,0,0,"Mold, United Kingdom",United Kingdom
19-Nov,1,0,USD,False,0,0,"Oceanside, California",United States
19-Nov,10,1,USD,True,0,0,"Fall City, Washington",United States
19-Nov,19,2,USD,False,2,0,"Fort Worth, Texas",United States
19-Nov,6,0,CAD,False,0,0,"Winnipeg, Canada",Canada
19-Nov,2,0,CAD,True,0,0,"Montreal, Canada",Canada
19-Nov,4,1,USD,False,0,0,"Campeche, Mexico",Mexico
19-Nov,2,1,USD,False,0,0,"Peoria, Arizona",United States
19-Nov,5,1,USD,False,0,0,"Bryansk, Russia",Russia
19-Nov,1,0,USD,False,0,0,"Irvine, California",United States
19-Nov,5,0,CAD,False,0,0,"Calgary, Canada",Canada
19-Nov,2,0,GBP,False,0,0,"Sheffield, United Kingdom",United Kingdom
19-Nov,1,0,GBP,False,0,0,"Reading, United Kingdom",United Kingdom
19-Nov,3,3,USD,False,6,1,"Groveland, Florida",United States
19-Nov,1,0,EUR,False,0,0,"Paris, France",France
19-Nov,15,1,EUR,False,7,0,"Dresden, Germany",Germany
19-Nov,4,17,USD,False,2,0,"Florida, United States",United States
19-Nov,1,0,GBP,False,0,0,"Tilbury, United Kingdom",United Kingdom
19-Nov,0,0,USD,False,0,0,"Maryland, United States",United States
19-Nov,1,0,GBP,True,0,0,"Witney, United Kingdom",United Kingdom
19-Nov,8,4,EUR,False,0,0,"Berlin, Germany",Germany
19-Nov,10,0,USD,True,0,0,"Monroe, Washington",United States
19-Nov,3,0,GBP,False,0,0,"Brighton, United Kingdom",United Kingdom
19-Nov,1,0,USD,False,0,0,"Pennsylvania, United States",United States
19-Nov,2,0,USD,False,0,0,"Portland, Oregon",United States
19-Nov,8,0,USD,False,0,0,"Minneapolis, Minnesota",United States
19-Nov,2,0,EUR,False,0,0,"Valencia, Spain",Spain
19-Nov,8,0,GBP,False,0,0,"Watford, United Kingdom",United Kingdom
19-Nov,4,0,EUR,True,0,0,"Zaragoza, Spain",Spain
19-Nov,4,0,GBP,False,0,0,"Worcester, United Kingdom",United Kingdom
19-Nov,10,1,USD,False,4,1,"Albuquerque, New Mexico",United States
19-Nov,8,0,GBP,False,0,0,"Torquay, United Kingdom",United Kingdom
19-Dec,15,0,USD,False,0,0,"New York, United States",United States
19-Nov,14,4,USD,True,1,0,"Escondido, California",United States
19-Nov,4,0,USD,False,3,0,"Kyiv City, Ukraine",Ukraine
19-Nov,30,0,USD,False,4,0,"Orlando, Florida",United States
19-Nov,2,0,USD,False,1,0,"Philadelphia, Pennsylvania",United States
19-Nov,5,0,USD,False,0,0,"Philadelphia, Pennsylvania",United States
19-Nov,6,0,USD,False,0,0,"Raytown, Missouri",United States
19-Nov,1,2,USD,False,12,0,"Houston, Texas",United States
